DISTRICT,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST,POSITIVITY_RATE_ALL_TESTS,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
1,2020-02-26,0,0,0,0,1
1,2020-02-27,0,0,0,0,0
1,2020-02-28,0,0,2,0,0
1,2020-02-29,0,0,0,0,0
1,2020-03-02,0,0,0,0,0
1,2020-03-03,0,0,0,0,0
1,2020-03-04,0,0,0,0,0
1,2020-03-05,0,0,0,0,0
1,2020-03-06,0,0,0,0,0
1,2020-03-07,0,0,1,0,0
1,2020-03-08,0,0,0,0,0
1,2020-03-09,0,0,0,0,0
1,2020-03-10,0,0,3,0,0
1,2020-03-11,0,0,3,0,0
1,2020-03-12,0,0,26,11.53846154,3
1,2020-03-13,1,0,16,6.25,1
1,2020-03-14,0,0,155,1.290322581,2
1,2020-03-15,0,0,23,8.695652174,3
1,2020-03-16,2,0,76,3.703703704,6
1,2020-03-17,1,0,122,14.63414634,16
1,2020-03-18,1,0,190,7.8125,15
1,2020-03-19,2,0,204,9.756097561,20
1,2020-03-20,2,0,187,7.936507937,17
1,2020-03-21,3,0,92,12.76595745,13
1,2020-03-22,1,0,90,9.782608696,9
1,2020-03-23,7,0,183,9.72972973,24
1,2020-03-24,5,0,125,11.94029851,25
1,2020-03-25,14,1,190,9.743589744,26
1,2020-03-26,18,1,188,16.32653061,39
1,2020-03-27,30,0,247,13.43283582,52
1,2020-03-28,24,0,115,18.33333333,28
1,2020-03-29,13,4,89,19.35483871,26
1,2020-03-30,59,2,312,14.37308869,62
1,2020-03-31,43,2,318,17.11711712,74
1,2020-04-01,47,0,280,15.51724138,65
1,2020-04-02,45,2,253,13.46153846,52
1,2020-04-03,78,2,269,17.08185053,55
1,2020-04-04,33,0,109,16.21621622,26
1,2020-04-05,54,2,96,19.41747573,27
1,2020-04-06,61,3,299,17.09677419,70
1,2020-04-07,45,5,286,19.20529801,73
1,2020-04-08,76,6,464,20.29598309,108
1,2020-04-09,52,6,502,15.02890173,93
1,2020-04-10,116,2,506,12.66540643,78
1,2020-04-11,96,2,296,12.17105263,41
1,2020-04-12,54,5,72,11.39240506,17
1,2020-04-13,37,6,455,18.72427984,94
1,2020-04-14,67,7,537,30.70175439,184
1,2020-04-15,187,2,470,12.79527559,73
1,2020-04-16,76,3,601,17.86833856,111
1,2020-04-17,88,5,539,13.94148021,82
1,2020-04-18,24,3,195,20.18348624,52
1,2020-04-19,83,6,140,25.14619883,41
1,2020-04-20,53,2,603,17.71956857,114
1,2020-04-21,87,4,523,18.19757366,105
1,2020-04-22,69,5,393,16.93735499,75
1,2020-04-23,109,4,321,20.27777778,82
1,2020-04-24,88,4,268,25.4180602,86
1,2020-04-25,51,2,253,20.36363636,54
1,2020-04-26,60,5,362,15.60846561,57
1,2020-04-27,158,5,674,13.10810811,92
